key,title,year,venue,peer_review_status,venue_verification_url,topic,status,local_path,url,related_work_usage,project_relevance
conceptfusion_2023,"ConceptFusion: Open-set Multimodal 3D Mapping","2023","RSS","verified_peer_reviewed","https://roboticsproceedings.org/rss19/p066.html","open-set features;pixel-aligned 3D map;multi-view fusion","noted","","https://roboticsproceedings.org/rss19/p066.html","foundation","Direct precedent for fusing pixel-aligned visual-language features into world-aligned 3D maps"
hovsg_2024,"Hierarchical Open-Vocabulary 3D Scene Graphs for Language-Grounded Robot Navigation","2024","RSS","verified_peer_reviewed","https://www.roboticsproceedings.org/rss20/p077.html","hierarchy;open vocabulary;scene graph;navigation","inbox","","https://www.roboticsproceedings.org/rss20/p077.html","foundation","Floor-room-object hierarchy limits novelty of generic spatial-context claims"
khronos_2024,"Khronos: A Unified Approach for Spatio-Temporal Metric-Semantic SLAM in Dynamic Environments","2024","RSS","verified_peer_reviewed","https://www.roboticsproceedings.org/rss20/p081.html","dynamic SLAM;short-term window;long-term change","inbox","","https://arxiv.org/abs/2402.13817","foundation","Fast short-term tracking plus slow long-term reconciliation"
covisnet_2025,"CoViS-Net: A Cooperative Visual Spatial Foundation Model for Multi-Robot Applications","2025","CoRL 2024","verified_peer_reviewed","https://proceedings.mlr.press/v270/blumenkamp25a.html","multi-robot;pose;BEV","noted","papers/blumenkamp25a.pdf","https://proceedings.mlr.press/v270/blumenkamp25a.html","adjacent","Spatial priors relative pose and unseen-region BEV prediction"
knot_untangling_2021,"Untangling Dense Non-Planar Knots by Learning Manipulation Features and Recovery Policies","2021","RSS","verified_peer_reviewed","https://www.roboticsproceedings.org/rss17/p013.html","deformable manipulation;recovery policy","skimmed_offtopic","papers/p013.pdf","https://www.roboticsproceedings.org/rss17/p013.html","excluded","Off-topic to spatial memory"
g3dlf_2025,"g3D-LF: Generalizable 3D-Language Feature Fields for Embodied Tasks","2025","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2025/html/Wang_g3D-LF_Generalizable_3D-Language_Feature_Fields_for_Embodied_Tasks_CVPR_2025_paper.html","feature field;3D-language;online update","deep_read","papers_detail/2411.17030v1.pdf","https://arxiv.org/abs/2411.17030","adjacent","Online posed RGB-D feature-field construction and updates"
dinowm_2025,"DINO-WM: World Models on Pre-trained Visual Features enable Zero-shot Planning","2025","ICML","verified_peer_reviewed","https://proceedings.mlr.press/v267/zhou25t.html","latent world model;planning","deep_read","papers_detail/zhou25t.pdf","https://proceedings.mlr.press/v267/zhou25t.html","adjacent","Frozen DINO latent prediction without RGB decoding"
threedmem_2025,"3D-Mem: 3D Scene Memory for Embodied Exploration and Reasoning","2025","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2025/html/Yang_3D-Mem_3D_Scene_Memory_for_Embodied_Exploration_and_Reasoning_CVPR_2025_paper.html","snapshot memory;active exploration;incremental aggregation","inbox","","https://arxiv.org/abs/2411.17735","foundation","Image-centric scene context memory and incremental memory management"
karma_2025,"KARMA: Augmenting Embodied AI Agents with Long-and-Short Term Memory Systems","2025","ICRA","verified_peer_reviewed","https://doi.org/10.1109/ICRA55743.2025.11128047","long-term memory;short-term memory;3D scene graph;planning","inbox","","https://arxiv.org/abs/2409.14908","foundation","Direct prior for long-term scene graph plus short-term object state changes"
mtu3d_2025,"Move to Understand a 3D Scene: Bridging Visual Grounding and Exploration for Efficient and Versatile Embodied Navigation","2025","ICCV","verified_peer_reviewed","https://openaccess.thecvf.com/content/ICCV2025/html/Zhu_Move_to_Understand_a_3D_Scene_Bridging_Visual_Grounding_and_ICCV_2025_paper.html","active perception;online memory","deep_read","papers_detail/2507.04047v2.pdf","https://arxiv.org/abs/2507.04047","adjacent","Online query-based spatial memory without explicit reconstruction"
embodied_videoagent_2025,"Embodied VideoAgent: Persistent Memory from Egocentric Videos and Embodied Sensors Enables Dynamic Scene Understanding","2025","ICCV","verified_peer_reviewed","https://openaccess.thecvf.com/content/ICCV2025/html/Fan_Embodied_VideoAgent_Persistent_Memory_from_Egocentric_Videos_and_Embodied_Sensors_ICCV_2025_paper.html","persistent object memory;3D re-ID;state update","inbox","","https://arxiv.org/abs/2501.00358","foundation","Direct object-memory baseline with pose depth identity and VLM state updates"
persistent_world_model_2025,"Learning 3D Persistent Embodied World Models","2025","NeurIPS","verified_peer_reviewed","https://proceedings.neurips.cc/paper_files/paper/2025/hash/970f59b22f4c72aec75174aae63c7459-Abstract-Conference.html","persistent 3D map;world model;long-horizon consistency","inbox","","https://arxiv.org/abs/2505.05495","adjacent","Writes predicted RGB-D into persistent 3D memory and conditions later generation"
threedllmmem_2025,"3DLLM-Mem: Long-Term Spatial-Temporal Memory for Embodied 3D Large Language Model","2025","NeurIPS","verified_peer_reviewed","https://proceedings.neurips.cc/paper_files/paper/2025/hash/61f527a737e4ba61f3e10d6c3f0c4b55-Abstract-Conference.html","working memory;episodic memory;selective attention;3D reasoning","inbox","","https://arxiv.org/abs/2507.22986","foundation","Working-memory queries selectively attend to episodic spatial-temporal memory"
g2vlm_2026,"G2VLM: Geometry Grounded Vision Language Model with Unified 3D Reconstruction and Spatial Reasoning","2026","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2026/html/Hu_G2VLM_Geometry_Grounded_Vision_Language_Model_with_Unified_3D_Reconstruction_CVPR_2026_paper.html","3D grounding;VLM;reconstruction","noted","papers/2511.21688v2.pdf","https://arxiv.org/abs/2511.21688","adjacent","Geometry-grounded spatial reasoning rather than persistent belief revision"
gr3d_2026,"Grounded 3D-Aware Spatial Vision-Language Modeling","2026","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2026/html/Cheng_Grounded_3D-Aware_Spatial_Vision-Language_Modeling_CVPR_2026_paper.html","grounding;3D VLM","noted","papers/2605.30307v1.pdf","https://arxiv.org/abs/2605.30307","adjacent","2D and monocular-3D grounding rather than online persistent memory"
hsgm_2026,"Bridging the 2D-3D Gap: A Hierarchical Semantic-Geometric Map for Vision Language Navigation","2026","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2026/html/Li_Bridging_the_2D-3D_Gap_A_Hierarchical_Semantic-Geometric_Map_for_Vision_CVPR_2026_paper.html","semantic-geometric map;VLN","noted","papers/2606.00095v1.pdf","https://arxiv.org/abs/2606.00095","adjacent","Strong structured-map and decoupled-planning comparison"
astranav_memory_2026,"AstraNav-Memory: Contexts Compression for Long Memory","2026","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2026/html/Hu_AstraNav-Memory_Contexts_Compression_for_Long_Memory_CVPR_2026_paper.html","image-centric memory;compression;navigation","priority","","https://arxiv.org/abs/2512.21627","adjacent","Strong compressed image-centric DINO memory baseline"
spatialmem_2026,"SpatialMem: Metric-Aligned Long-Horizon Video Memory for Language Grounding and QA","2026","arXiv","preprint_only","","3D anchors;long-horizon memory","priority","","https://arxiv.org/abs/2601.14895","novelty_watch_only","Closest unreviewed novelty threat around structural anchors and metric hierarchy"
spamem_2026,"SpaMEM: Benchmarking Dynamic Spatial Reasoning via Perception-Memory Integration in Embodied Environments","2026","arXiv; venue claim not officially verified","preprint_or_venue_unverified","","dynamic spatial belief;benchmark;action-conditioned change","priority","","https://arxiv.org/abs/2604.22409","novelty_watch_only","Direct warning for belief revision and diagnostic dynamic-memory evaluation"
changinggrounding_2026,"ChangingGrounding: 3D Visual Grounding in Changing Scenes","2026","Submitted to ICLR 2026","submitted_not_accepted","https://openreview.net/forum?id=CU8HVTe9Oh","changing scenes;memory-driven grounding;active exploration","priority","","https://openreview.net/forum?id=CU8HVTe9Oh","novelty_watch_only","Changing-scene grounding and re-exploration overlap"
visage_2026,"ViSAGE: Constructing Self-Correcting Memories for Long-Form Video Understanding","2026","arXiv; ACL ARR submission","submission_or_preprint","","self-correcting memory;identity revision;long video","priority","","https://arxiv.org/abs/2607.28678","novelty_watch_only","Delayed identity evidence revises historical memory"
dynemo_slam_2025,"DYNEMO-SLAM: Dynamic Entity and Motion-Aware 3D Scene Graph SLAM","2025","arXiv","preprint_only","","dynamic entity;motion-aware SLAM;3D scene graph","priority","","https://arxiv.org/abs/2503.02050","novelty_watch_only","Dynamic entities as persistent landmarks rather than outliers"
r4dsg_2026,"R4DSG: Relative 4D Scene Graph Memory for Object-Centric Question Answering in Long Egocentric Video","2026","arXiv","preprint_only","","stable anchors;dynamic objects;relative change;video QA","priority","","https://arxiv.org/abs/2608.11017","novelty_watch_only","Very recent direct threat around anchor-relative object transitions"
tampnav_2026,"Embodied-Navigator: Point, Think, Memorize, and Align for Efficient Navigation","2026","arXiv","preprint_only","","anchor-trajectory memory;selective reasoning;navigation","inbox","","https://arxiv.org/abs/2608.17512","novelty_watch_only","Very recent selective high-fidelity memory and trajectory compression route"
farm_2026,"FARM: Find Anything using Relational Spatial Memory","2026","arXiv","preprint_only","","online object memory;relational spatial retrieval;soft predicates;top-K","deep_read","papers_detail/2606.15476v3.pdf","https://arxiv.org/abs/2606.15476","novelty_watch_only","Direct overlap with online object memory and relational retrieval; no typed dynamic belief revision, versioned affected-subgraph propagation, or stop boundary"
tgn_2020,"Temporal Graph Networks for Deep Learning on Dynamic Graphs","2020","arXiv / ICML workshop","workshop_or_preprint","https://arxiv.org/abs/2006.10637","temporal graph;event stream;node memory","noted","","https://arxiv.org/abs/2006.10637","baseline","Generic event-based dynamic graph memory baseline"
structured_world_belief_2021,"Structured World Belief for Reinforcement Learning in POMDP","2021","ICML","verified_peer_reviewed","https://proceedings.mlr.press/v139/singh21a.html","structured belief;world model;POMDP","noted","","https://proceedings.mlr.press/v139/singh21a.html","foundation","Structured object-relation belief state precedent"
uncertainty_weighting_2018,"Multi-Task Learning Using Uncertainty to Weigh Losses for Scene Geometry and Semantics","2018","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content_cvpr_2018/html/Kendall_Multi-Task_Learning_Using_CVPR_2018_paper.html","multi-task learning;loss weighting;uncertainty","noted","","https://openaccess.thecvf.com/content_cvpr_2018/html/Kendall_Multi-Task_Learning_Using_CVPR_2018_paper.html","method_reference","Use only if multiple learned tasks remain"
gradnorm_2018,"GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks","2018","ICML","verified_peer_reviewed","https://proceedings.mlr.press/v80/chen18a.html","multi-task learning;gradient balancing","noted","","https://proceedings.mlr.press/v80/chen18a.html","method_reference","Diagnostic option for measured task-rate imbalance"
pcgrad_2020,"Gradient Surgery for Multi-Task Learning","2020","NeurIPS","verified_peer_reviewed","https://proceedings.neurips.cc/paper/2020/hash/3fe78a8acf5fda99de95303940a2420c-Abstract.html","multi-task learning;gradient conflict","noted","","https://proceedings.neurips.cc/paper/2020/hash/3fe78a8acf5fda99de95303940a2420c-Abstract.html","method_reference","Ablation option only after gradient conflict is observed"
scenegraphfusion_2021,"SceneGraphFusion: Incremental 3D Scene Graph Prediction from RGB-D Sequences","2021","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2021/html/Wu_SceneGraphFusion_Incremental_3D_Scene_Graph_Prediction_From_RGB-D_Sequences_CVPR_2021_paper.html","incremental 3D scene graph;GNN;RGB-D","noted","","https://openaccess.thecvf.com/content/CVPR2021/papers/Wu_SceneGraphFusion_Incremental_3D_Scene_Graph_Prediction_From_RGB-D_Sequences_CVPR_2021_paper.pdf","foundation","Mature learned incremental graph construction; maintenance alone is not novel"
csr_2022,"Continuous Scene Representations for Embodied AI","2022","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2022/html/Gadre_Continuous_Scene_Representations_for_Embodied_AI_CVPR_2022_paper.html","continuous scene representation;online relation update;embodied AI","noted","","https://openaccess.thecvf.com/content/CVPR2022/papers/Gadre_Continuous_Scene_Representations_for_Embodied_AI_CVPR_2022_paper.pdf","foundation","Online learned relation representation overlap"
diffvsgg_2025,"DiffVSGG: Diffusion-Driven Online Video Scene Graph Generation","2025","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2025/html/Chen_DiffVsgg_Diffusion-Driven_Online_Video_Scene_Graph_Generation_CVPR_2025_paper.html","online video scene graph;iterative update;diffusion","noted","","https://openaccess.thecvf.com/content/CVPR2025/papers/Chen_DiffVsgg_Diffusion-Driven_Online_Video_Scene_Graph_Generation_CVPR_2025_paper.pdf","novelty_watch_only","Recent iterative graph update baseline and overlap threat"
