key,title,year,venue,peer_review_status,venue_verification_url,topic,status,local_path,url,related_work_usage,project_relevance
karma_2025,"KARMA: Augmenting Embodied AI Agents with Long-and-Short Term Memory Systems","2025","ICRA","verified_peer_reviewed","https://doi.org/10.1109/ICRA55743.2025.11128047","long-term memory;short-term memory;3D scene graph;planning","inbox","","https://arxiv.org/abs/2409.14908","foundation","Direct prior for long-term scene graph plus short-term object state changes"
mtu3d_2025,"Move to Understand a 3D Scene: Bridging Visual Grounding and Exploration for Efficient and Versatile Embodied Navigation","2025","ICCV","verified_peer_reviewed","https://openaccess.thecvf.com/content/ICCV2025/html/Zhu_Move_to_Understand_a_3D_Scene_Bridging_Visual_Grounding_and_ICCV_2025_paper.html","active perception;online memory","deep_read","papers_detail/2507.04047v2.pdf","https://arxiv.org/abs/2507.04047","adjacent","Online query-based spatial memory without explicit reconstruction"
embodied_videoagent_2025,"Embodied VideoAgent: Persistent Memory from Egocentric Videos and Embodied Sensors Enables Dynamic Scene Understanding","2025","ICCV","verified_peer_reviewed","https://openaccess.thecvf.com/content/ICCV2025/html/Fan_Embodied_VideoAgent_Persistent_Memory_from_Egocentric_Videos_and_Embodied_Sensors_ICCV_2025_paper.html","persistent object memory;3D re-ID;state update","inbox","","https://arxiv.org/abs/2501.00358","foundation","Direct object-memory baseline with pose depth identity and VLM state updates"
persistent_world_model_2025,"Learning 3D Persistent Embodied World Models","2025","NeurIPS","verified_peer_reviewed","https://proceedings.neurips.cc/paper_files/paper/2025/hash/970f59b22f4c72aec75174aae63c7459-Abstract-Conference.html","persistent 3D map;world model;long-horizon consistency","inbox","","https://arxiv.org/abs/2505.05495","adjacent","Writes predicted RGB-D into persistent 3D memory and conditions later generation"
threedllmmem_2025,"3DLLM-Mem: Long-Term Spatial-Temporal Memory for Embodied 3D Large Language Model","2025","NeurIPS","verified_peer_reviewed","https://proceedings.neurips.cc/paper_files/paper/2025/hash/61f527a737e4ba61f3e10d6c3f0c4b55-Abstract-Conference.html","working memory;episodic memory;selective attention;3D reasoning","inbox","","https://arxiv.org/abs/2507.22986","foundation","Working-memory queries selectively attend to episodic spatial-temporal memory"
g2vlm_2026,"G2VLM: Geometry Grounded Vision Language Model with Unified 3D Reconstruction and Spatial Reasoning","2026","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2026/html/Hu_G2VLM_Geometry_Grounded_Vision_Language_Model_with_Unified_3D_Reconstruction_CVPR_2026_paper.html","3D grounding;VLM;reconstruction","noted","papers/2511.21688v2.pdf","https://arxiv.org/abs/2511.21688","adjacent","Geometry-grounded spatial reasoning rather than persistent belief revision"
gr3d_2026,"Grounded 3D-Aware Spatial Vision-Language Modeling","2026","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2026/html/Cheng_Grounded_3D-Aware_Spatial_Vision-Language_Modeling_CVPR_2026_paper.html","grounding;3D VLM","noted","papers/2605.30307v1.pdf","https://arxiv.org/abs/2605.30307","adjacent","2D and monocular-3D grounding rather than online persistent memory"
hsgm_2026,"Bridging the 2D-3D Gap: A Hierarchical Semantic-Geometric Map for Vision Language Navigation","2026","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2026/html/Li_Bridging_the_2D-3D_Gap_A_Hierarchical_Semantic-Geometric_Map_for_Vision_CVPR_2026_paper.html","semantic-geometric map;VLN","noted","papers/2606.00095v1.pdf","https://arxiv.org/abs/2606.00095","adjacent","Strong structured-map and decoupled-planning comparison"
astranav_memory_2026,"AstraNav-Memory: Contexts Compression for Long Memory","2026","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2026/html/Hu_AstraNav-Memory_Contexts_Compression_for_Long_Memory_CVPR_2026_paper.html","image-centric memory;compression;navigation","priority","","https://arxiv.org/abs/2512.21627","adjacent","Strong compressed image-centric DINO memory baseline"
spatialmem_2026,"SpatialMem: Metric-Aligned Long-Horizon Video Memory for Language Grounding and QA","2026","arXiv","preprint_only","","3D anchors;long-horizon memory","priority","","https://arxiv.org/abs/2601.14895","novelty_watch_only","Closest unreviewed novelty threat around structural anchors and metric hierarchy"
spamem_2026,"SpaMEM: Benchmarking Dynamic Spatial Reasoning via Perception-Memory Integration in Embodied Environments","2026","arXiv; venue claim not officially verified","preprint_or_venue_unverified","","dynamic spatial belief;benchmark;action-conditioned change","priority","","https://arxiv.org/abs/2604.22409","novelty_watch_only","Direct warning for belief revision and diagnostic dynamic-memory evaluation"
changinggrounding_2026,"ChangingGrounding: 3D Visual Grounding in Changing Scenes","2026","Submitted to ICLR 2026","submitted_not_accepted","https://openreview.net/forum?id=CU8HVTe9Oh","changing scenes;memory-driven grounding;active exploration","priority","","https://openreview.net/forum?id=CU8HVTe9Oh","novelty_watch_only","Changing-scene grounding and re-exploration overlap"
visage_2026,"ViSAGE: Constructing Self-Correcting Memories for Long-Form Video Understanding","2026","arXiv; ACL ARR submission","submission_or_preprint","","self-correcting memory;identity revision;long video","priority","","https://arxiv.org/abs/2607.28678","novelty_watch_only","Delayed identity evidence revises historical memory"
dynemo_slam_2025,"DYNEMO-SLAM: Dynamic Entity and Motion-Aware 3D Scene Graph SLAM","2025","arXiv","preprint_only","","dynamic entity;motion-aware SLAM;3D scene graph","priority","","https://arxiv.org/abs/2503.02050","novelty_watch_only","Dynamic entities as persistent landmarks rather than outliers"
r4dsg_2026,"R4DSG: Relative 4D Scene Graph Memory for Object-Centric Question Answering in Long Egocentric Video","2026","arXiv","preprint_only","","stable anchors;dynamic objects;relative change;video QA","priority","","https://arxiv.org/abs/2608.11017","novelty_watch_only","Very recent direct threat around anchor-relative object transitions"
tampnav_2026,"Embodied-Navigator: Point, Think, Memorize, and Align for Efficient Navigation","2026","arXiv","preprint_only","","anchor-trajectory memory;selective reasoning;navigation","inbox","","https://arxiv.org/abs/2608.17512","novelty_watch_only","Very recent selective high-fidelity memory and trajectory compression route"
farm_2026,"FARM: Find Anything using Relational Spatial Memory","2026","arXiv","preprint_only","","online object memory;relational spatial retrieval;soft predicates;top-K","deep_read","papers_detail/2606.15476v3.pdf","https://arxiv.org/abs/2606.15476","novelty_watch_only","Direct overlap with online object memory and relational retrieval; no typed dynamic belief revision, versioned affected-subgraph propagation, or stop boundary"
